"id","created_at","updated_at","name","cluster"
"730","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","ecological crisis","environmental issues"
"731","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","hunger crises","food crisis"
"732","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","rising food prices","economic issues"
"733","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","restricted humanitarian access","humanitarian aid"
"734","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","water availability","weather shocks"
"735","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","alarming level","other"
"736","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","police torture","conflicts and violence"
"737","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","potato blight","pests and diseases"
"738","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","the offensive","conflicts and violence"
"739","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","land invasions","land-related issues"
"740","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","clan warfare","conflicts and violence"
"741","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","stolen food aid","humanitarian aid"
"742","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","politically engineered","political instability"
"743","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","scanty rainfall","weather shocks"
"744","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","water distribution shortages","agricultural production issues"
"745","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","cattle death","agricultural production issues"
"746","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","asylum seekers","forced displacement"
"747","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","major offensive","conflicts and violence"
"748","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","without international aid","humanitarian aid"
"749","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","prolonged dry spell","weather shocks"
"750","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","rise","economic issues"
"751","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","restricted relief flights","humanitarian aid"
"752","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","civil strife","conflicts and violence"
"753","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","aid workers died","humanitarian aid"
"754","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","rival warlords","conflicts and violence"
"755","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","land reform","land-related issues"
"756","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","lack of roads","agricultural production issues"
"757","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","pushing peasants off","land-related issues"
"758","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","locusts","pests and diseases"
"759","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","gangs of bandits","conflicts and violence"
"760","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","repression","conflicts and violence"
"761","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","humanitarian disaster","humanitarian aid"
"762","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","years of warfare","conflicts and violence"
"763","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","floods","weather shocks"
"764","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","unable to sow","agricultural production issues"
"765","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","transport bottleneck","agricultural production issues"
"766","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","pirates","conflicts and violence"
"767","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","reduced imports","economic issues"
"768","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","apathy","food crisis"
"769","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","coup","political instability"
"770","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","epidemics","pests and diseases"
"771","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","siege","conflicts and violence"
"772","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","power struggle","political instability"
"773","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","livestock had died","agricultural production issues"
"774","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","blockade","conflicts and violence"
"775","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","burning houses","land-related issues"
"776","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","brain drain","economic issues"
"777","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","severe rains","weather shocks"
"778","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","infrastructure damage","agricultural production issues"
"779","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","land degradation","land-related issues"
"780","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","human rights abuses","conflicts and violence"
"781","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","lack of cultivation","agricultural production issues"
"782","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","harvest decline","agricultural production issues"
"783","2025-10-06T14:06:18.70778Z","2025-10-06T14:06:18.70778Z","flee","forced displacement"
